adv	[ⲉⲃⲟ]ⲗ	[ⲉⲃⲟ]ⲗ
adv	ϣⲁϩⲟⲩⲛ	ϣⲁϩⲟⲩⲛ
adv	ϣⲁϩⲣⲁⲉⲓ	ϣⲁϩⲣⲁⲓ
adv	ϣⲁϩⲣⲁⲉⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ	ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ
adv	ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ
adv	ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ	ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ
adv	ϣⲁⲃⲟⲗ	ϣⲁⲃⲟⲗ
adv	ϣⲁⲉϩⲣⲁⲉⲓ	ϣⲁⲉϩⲣⲁⲓ
adv	ϣⲁⲉϩⲣⲁⲓ	ϣⲁⲉϩⲣⲁⲓ
adv	ϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ	ϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ
adv	ϣⲁⲡⲉⲓⲙⲁ	ϣⲁⲡⲉⲓⲙⲁ
adv	ϣⲁⲧⲛⲁⲩ	ϣⲁⲧⲛⲁⲩ
adv	ϩⲁϩⲛⲥⲟⲡ	ϩⲁϩⲛⲥⲟⲡ
adv	ϩⲁⲃⲟⲗ	ϩⲁⲃⲟⲗ
adv	ϩⲁⲑⲏ	ϩⲁⲑⲏ
adv	ϩⲁⲡⲉⲥⲏⲧ	ϩⲁⲡⲉⲥⲏⲧ
adv	ϩⲁⲡⲗⲱⲥ	ϩⲁⲡⲗⲱⲥ
adv	ϩⲉⲓϩⲟⲩⲛ	ϩⲓϩⲟⲩⲛ
adv	ϩⲉⲓⲃⲟⲗ	ϩⲓⲃⲟⲗ
adv	ϩⲉⲓⲑⲏ	ϩⲓⲑⲏ
adv	ϩⲉⲓⲛⲁⲉⲓ	ϩⲓⲛⲁⲓ
adv	ϩⲉⲓⲛⲁⲓ	ϩⲓⲛⲁⲓ
adv	ϩⲉⲓⲟⲩⲥⲟⲡ	ϩⲓⲟⲩⲥⲟⲡ
adv	ϩⲉⲓⲡⲉⲥⲏⲧ	ϩⲓⲡⲉⲥⲏⲧ
adv	ϩⲉⲛⲟⲩϣⲉⲡϩⲙⲟⲧ	ϩⲉⲛⲟⲩϣⲉⲡϩⲙⲟⲧ
adv	ϩⲉⲛⲟⲩϣⲡϩⲙⲟⲧ	ϩⲉⲛⲟⲩϣⲡϩⲙⲟⲧ
adv	ϩⲉⲛⲟⲩϩⲙⲟⲧ	ϩⲉⲛⲟⲩϩⲙⲟⲧ
adv	ϩⲉⲛⲟⲩϩⲱⲡ	ϩⲉⲛⲟⲩϩⲱⲡ
adv	ϩⲉⲛⲟⲩϫⲱⲕ	ϩⲉⲛⲟⲩϫⲱⲕ
adv	ϩⲉⲛⲟⲩϭⲉⲡⲏ	ϩⲉⲛⲟⲩϭⲉⲡⲏ
adv	ϩⲉⲛⲟⲩⲡⲉⲑⲏⲡ	ϩⲉⲛⲟⲩⲡⲉⲑⲏⲡ
adv	ϩⲉⲛⲥⲟⲡ	ϩⲉⲛⲥⲟⲡ
adv	ϩⲓϩⲟⲩⲛ	ϩⲓϩⲟⲩⲛ
adv	ϩⲓⲃⲟⲗ	ϩⲓⲃⲟⲗ
adv	ϩⲓⲑⲏ	ϩⲓⲑⲏ
adv	ϩⲓⲛⲁⲉⲓ	ϩⲓⲛⲁⲓ
adv	ϩⲓⲛⲁⲓ	ϩⲓⲛⲁⲓ
adv	ϩⲓⲟⲩⲥⲟⲡ	ϩⲓⲟⲩⲥⲟⲡ
adv	ϩⲓⲡⲉⲥⲏⲧ	ϩⲓⲡⲉⲥⲏⲧ
